 LoadAll, Departing,CaptureDate,sailingTime,dayofWeek,DoW,MonthName,MonthNumber
86,HSB,2017-01-28,1550,6,Sat,Jan,1
58,HSB,2017-01-28,1650,6,Sat,Jan,1
48,HSB,2017-01-28,1750,6,Sat,Jan,1
50,HSB,2017-01-28,1850,6,Sat,Jan,1
39,HSB,2017-01-28,1950,6,Sat,Jan,1
7,HSB,2017-01-28,2145,6,Sat,Jan,1
32,HSB,2017-01-29,1025,0,Sun,Jan,1
3,HSB,2017-01-29,1130,0,Sun,Jan,1
0,HSB,2017-01-29,1230,0,Sun,Jan,1
41,HSB,2017-01-29,925,0,Sun,Jan,1
33,HSB,2017-01-30,1025,1,Mon,Jan,1
57,HSB,2017-01-30,1130,1,Mon,Jan,1
47,HSB,2017-01-30,1230,1,Mon,Jan,1
61,HSB,2017-01-30,1335,1,Mon,Jan,1
63,HSB,2017-01-30,1435,1,Mon,Jan,1
71,HSB,2017-01-30,1550,1,Mon,Jan,1
0,HSB,2017-01-30,1650,1,Mon,Jan,1
23,HSB,2017-01-30,1750,1,Mon,Jan,1
0,HSB,2017-01-30,1850,1,Mon,Jan,1
0,HSB,2017-01-30,1950,1,Mon,Jan,1
54,HSB,2017-01-30,620,1,Mon,Jan,1
81,HSB,2017-01-30,720,1,Mon,Jan,1
30,HSB,2017-01-30,820,1,Mon,Jan,1
52,HSB,2017-01-30,925,1,Mon,Jan,1
40,HSB,2017-02-05,1335,0,Sun,Feb,2
36,HSB,2017-02-05,1435,0,Sun,Feb,2
47,HSB,2017-02-05,1550,0,Sun,Feb,2
34,HSB,2017-02-05,1650,0,Sun,Feb,2
36,HSB,2017-02-05,1750,0,Sun,Feb,2
25,HSB,2017-02-05,1850,0,Sun,Feb,2
25,HSB,2017-02-05,1950,0,Sun,Feb,2
25,HSB,2017-02-05,2145,0,Sun,Feb,2
66,HSB,2017-02-19,1335,0,Sun,Feb,2
72,HSB,2017-02-19,1435,0,Sun,Feb,2
97,HSB,2017-02-19,1550,0,Sun,Feb,2
78,HSB,2017-02-19,1650,0,Sun,Feb,2
75,HSB,2017-02-19,1750,0,Sun,Feb,2
50,HSB,2017-02-19,1850,0,Sun,Feb,2
47,HSB,2017-02-19,1950,0,Sun,Feb,2
28,HSB,2017-02-19,2145,0,Sun,Feb,2
60,HSB,2017-02-20,620,1,Mon,Feb,2
93,HSB,2017-02-20,720,1,Mon,Feb,2
30,HSB,2017-02-20,820,1,Mon,Feb,2
47,HSB,2017-02-20,925,1,Mon,Feb,2
39,HSB,2017-02-20,1025,1,Mon,Feb,2
58,HSB,2017-02-20,1130,1,Mon,Feb,2
51,HSB,2017-02-20,1230,1,Mon,Feb,2
88,HSB,2017-02-20,1335,1,Mon,Feb,2
53,HSB,2017-02-20,1435,1,Mon,Feb,2
79,HSB,2017-02-20,1550,1,Mon,Feb,2
53,HSB,2017-02-20,1650,1,Mon,Feb,2
56,HSB,2017-02-20,1750,1,Mon,Feb,2
